út	ú
por os od om	por os od om
segítség em re	segítség em re
el temet te	el temet te
hit vall ás unk ra	hit vall ás unk ra
le vezekel te	levvezekel te
erő tlen ül	erő tlen ül
el hibá z ott	el hibá z ott
fel robbant ottad	fel robbant ott d
hid ad at	hid ad at
el üSk ös öd ött	el üSköös öd ött
Sakad tak	Sakad tak
monditt	mondi t
puStul ás t	puStul ás t
tragédiá t	tragédiá t
el hallgat nak	el hallgat nak
Sív ünk kel	Sív ünk kel
fullad t	fullad t
jövő nk et	jövő nk et
emlékez ett	emlék zeett
viSSa talál t	viSSa talál t
lóg va	lóg va
dörög nek	dörög nek
kaján ul	kaján ul
morZol gat od	morZolggat od
oda téved t	odattéved t
Zeb é ből	Zeb é ből
bűz é ben	bűz é ben
híz zál	híz zál
darab unk	darab unk
világ Sín pad ra	világ Sín pad ra
meg formál t	meg formál t
sír ó	sír ó
kúss zanak	kúS azanak
farkaSemet	far    m t
meg áll tad	meg áll tad
maSk	maSk
fok ot	fok ot
naGkaniZá n	naGkaniZánn
közép hő mérséklet	középhhő mérséklet
jég eső ről	jég es  ről
zápor ai	zápor ai
Sárad t	Sárad t
kap ás ok	kap ás ok
sok év es	sok év es
köNvel het tek	köNvel het tek
kúS ott	kúSoott
hazá nk on	hazá nk on
be zár ód ás hoz	be zár ód ás hoz
élet feltétel ei re	élet feltétel ei re
reggel re	reggel re
faG	faG
